"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-198408";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-198408.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-198408-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-198408-xstream.xml"")";"Thomas Neubauer
Christian Stummer";"Thomas Neubauer
Christian Stummer";"100,00";"100,00";"100,00"
"TUW-200745";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200745.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200745-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-200745-xstream.xml"")";"Christian Gruber";"Diplom-Ingenieur
Christian Gruber";"50,00";"100,00";"66,67"
"TUW-200748";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200748.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200748-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-200748-xstream.xml"")";"Thomas Seidl";"Diplom-Ingenieur
Thomas Seidl
Thomas Seidl";"33,33";"100,00";"50,00"
"TUW-200948";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200948.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200948-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-200948-xstream.xml"")";"Gregory Gutin
Eun Jung Kim
Stefan Szeider
Anders Yeo";"Gregory Gutin
Eun Jung Kim
Stefan Szeider
Anders Yeo";"100,00";"100,00";"100,00"
"TUW-200950";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200950.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200950-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-200950-xstream.xml"")";"Michael Fellows
Fedor V Fomin
Daniel Lokshtanov
Frances Rosamond
Saket Saurabh
Stefan Szeider
Carsten Thomassen";"Michael Fellows
Fedor V Fomin
Daniel Lokshtanov
Frances Rosamond
Saket Saurabh
Stefan Szeider
Carsten Thomassen";"100,00";"100,00";"100,00"
"TUW-200959";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200959.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200959-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-200959-xstream.xml"")";"Stephan Kreutzer
Sebastian Ordyniak";"Stephan Kreutzer
Sebastian Ordyniak";"100,00";"100,00";"100,00"
"TUW-201066";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-201066.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-201066-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-201066-xstream.xml"")";"Martin Berlakovich
Mario Ruthmair
Günther R Raidl";"Martin Berlakovich
Mario Ruthmair
Günther R Raidl";"100,00";"100,00";"100,00"
"TUW-201160";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-201160.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-201160-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-201160-xstream.xml"")";"Markus Leitner
Günther R Raidl";"Markus Leitner
Günther R Raidl";"100,00";"100,00";"100,00"
"TUW-201167";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-201167.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-201167-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-201167-xstream.xml"")";"Mario Ruthmair
Andreas Hubmer
Günther R Raidl";"Mario Ruthmair
Andreas Hubmer
Günther R Raidl";"100,00";"100,00";"100,00"
"TUW-201821";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-201821.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-201821-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-201821-xstream.xml"")";"Antonius Weinzierl";"Antonius Weinzierl";"100,00";"100,00";"100,00"
