"path";"PDF";"original";"extracted";"PublicationType";"Title";"Publicationtype";"Abstract";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Location";"Date";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-141065";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141065.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141065-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141065-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"57,14";"100,00";"91,67";"90,28";"90,87"
"TUW-141121";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141121-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00"
"TUW-141140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"78,57";"100,00";"0,00";"100,00";"86,47";"90,00";"87,86"
"TUW-141336";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141336.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141336-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141336-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"50,00";"50,00";"50,00";"0,00";"0,00";"100,00";"100,00";"NA";"100,00";"100,00";"NA";"0,00";"NA";"84,62";"100,00";"80,00";"100,00";"74,90";"66,67";"65,57"
"TUW-141618";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141618.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141618-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141618-xstream.xml"")";"Buchbeiträge";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"100,00";"33,33";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"41,67";"100,00";"15,38";"98,67";"68,48";"75,00";"68,90"
"TUW-141758";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141758.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141758-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-141758-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"81,12";"90,00";"0,00";"85,18";"67,15";"70,81";"63,03"
"TUW-168222";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-168222.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-168222-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-168222-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"77,78";"58,33";"58,33"
"TUW-168482";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-168482.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-168482-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-168482-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"80,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"79,28";"69,56";"0,00";"79,41";"30,21";"30,18";"25,69"
"TUW-169511";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-169511.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-169511-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-169511-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"66,67";"66,67";"66,67";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"94,70";"85,61";"88,64"
"TUW-172697";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-172697.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-172697-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-172697-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"100,00";"0,00";"75,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"66,67";"NA";"0,00";"85,71";"66,67";"51,92";"48,26"
