"path";"PDF";"original";"extracted";"PublicationType";"Title";"Publicationtype";"Abstract";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Date";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-141121";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141121-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"66,67";"0,00";"0,00";"100,00";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"54,55";"0,00";"66,67";"100,00";"84,38";"57,74";"54,55"
"TUW-141140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"83,33";"85,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"50,00";"0,00";"66,67";"100,00";"89,37";"67,14";"68,50"
"TUW-141336";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141336.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141336-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141336-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"0,00";"50,00";"0,00";"0,00";"0,00";"100,00";"100,00";"0,00";"100,00";"100,00";"NA";"NA";"40,00";"30,77";"50,00";"100,00";"68,75";"50,62";"51,22"
"TUW-141618";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141618.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141618-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141618-xstream.xml"")";"Buchbeiträge";"0,00";"0,00";"100,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"80,00";"88,89";"0,00";"82,54";"63,33";"33,03";"35,14"
"TUW-141758";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141758.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141758-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141758-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"66,67";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"68,82";"27,84";"26,53";"19,62"
"TUW-168222";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-168222.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-168222-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-168222-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"0,00";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"25,00";"0,00";"0,00";"100,00";"70,83";"35,42";"35,42"
"TUW-168482";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-168482.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-168482-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-168482-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"0,00";"0,00";"0,00";"NA";"0,00";"0,00";"0,00";"0,00";"11,11";"9,09";"7,14"
"TUW-169511";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-169511.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-169511-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-169511-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"NA";"NA";"100,00";"80,00";"80,00";"66,67";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"100,00";"100,00";"100,00";"87,50";"83,79";"80,96"
"TUW-172697";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-172697.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-172697-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-172697-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"0,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"NA";"100,00";"NA";"0,00";"0,00";"66,67";"50,00";"42,86"
"TUW-174216";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-174216.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-174216-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-174216-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"0,00";"57,14";"0,00";"0,00";"50,00";"44,44";"0,00";"0,00";"0,00";"100,00";"100,00";"0,00";"NA";"82,35";"0,00";"0,00";"92,86";"56,63";"40,76";"38,25"
