"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-138547-ref3";"notMatched";"notMatched";"notMatched";"0,00";"0,00";"0,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138547-ref4";"93,33";"55,56";"53,33";"100,00";"77,78";"77,78";"66,67";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-138547-ref5";"100,00";"55,56";"55,56";"100,00";"77,78";"77,78";"60,00";"33,33";"33,33";"NAN";"0,00";"0,00"
"TUW-138547-ref6";"93,33";"55,56";"53,33";"100,00";"77,78";"77,78";"66,67";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-138547-ref7";"79,17";"50,00";"48,57";"0,00";"0,00";"0,00";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139299-ref1";"66,67";"40,00";"40,00";"25,00";"20,00";"16,67";"100,00";"60,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139299-ref2";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"75,00";"60,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139299-ref3";"40,00";"22,22";"20,00";"78,57";"66,67";"56,67";"66,67";"22,22";"20,00";"NAN";"0,00";"0,00"
"TUW-139299-ref4";"57,14";"44,44";"40,00";"66,67";"66,67";"54,55";"80,00";"44,44";"40,00";"NAN";"0,00";"0,00"
"TUW-139299-ref5";"33,33";"16,67";"16,67";"100,00";"50,00";"50,00";"80,00";"66,67";"66,67";"NAN";"0,00";"0,00"
"TUW-139299-ref6";"86,73";"67,41";"67,43";"100,00";"66,67";"66,67";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139299-ref7";"60,00";"42,86";"42,86";"83,33";"71,43";"71,43";"75,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139299-ref8";"33,33";"14,29";"14,29";"40,00";"28,57";"25,00";"60,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139299-ref9";"100,00";"66,67";"66,67";"75,00";"66,67";"60,00";"100,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-139299-ref10";"97,22";"66,67";"65,66";"50,00";"44,44";"40,00";"100,00";"33,33";"33,33";"NAN";"0,00";"0,00"
"TUW-139299-ref11";"50,00";"20,00";"16,67";"50,00";"20,00";"16,67";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139761-ref1";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"100,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref2";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref3";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
