"File";"Precision";"Recall";"F1"
"TUW-141618-ref36";"80,00";"66,67";"66,67"
"TUW-141618-ref37";"100,00";"70,00";"70,00"
"TUW-141758-ref10";"83,33";"75,71";"75,33"
"TUW-141758-ref11";"85,71";"66,67";"66,67"
"TUW-141758-ref12";"50,00";"42,86";"33,33"
"TUW-141758-ref13";"88,89";"80,00";"80,00"
"TUW-141758-ref14";"88,89";"80,00";"80,00"
"TUW-141758-ref15";"60,00";"42,86";"42,86"
"TUW-141758-ref16";"88,89";"80,00";"80,00"
"TUW-141758-ref17";"85,71";"66,67";"66,67"
"TUW-141758-ref18";"40,00";"22,22";"20,00"
"TUW-141758-ref20";"41,67";"25,00";"21,67"
"TUW-141758-ref21";"50,00";"33,33";"33,33"
"TUW-141758-ref22";"62,50";"50,00";"45,45"
"TUW-141758-ref24";"88,89";"80,00";"80,00"
"TUW-141758-ref25";"75,00";"60,00";"54,55"
"TUW-141758-ref26";"66,67";"50,00";"50,00"
"TUW-141758-ref27";"80,00";"50,00";"50,00"
"TUW-141758-ref28";"40,00";"25,00";"22,22"
"TUW-141758-ref29";"66,67";"57,14";"50,00"
"TUW-141758-ref30";"77,78";"70,00";"70,00"
"TUW-141758-ref31";"16,67";"12,50";"11,11"
"TUW-141758-ref32";"88,89";"80,00";"80,00"
"TUW-141758-ref33";"80,00";"66,67";"66,67"
"TUW-141758-ref34";"57,14";"40,00";"40,00"
"TUW-141758-ref35";"40,00";"25,00";"22,22"
"TUW-141758-ref36";"40,00";"25,00";"22,22"
"TUW-141758-ref37";"40,00";"25,00";"22,22"
"TUW-141758-ref38";"20,00";"12,50";"11,11"
"TUW-141758-ref39";"40,00";"25,00";"22,22"
"TUW-141758-ref40";"85,71";"66,67";"66,67"
"TUW-141758-ref41";"62,50";"50,00";"45,45"
"TUW-141758-ref42";"25,00";"12,50";"12,50"
"TUW-141758-ref43";"25,00";"12,50";"12,50"
"TUW-141758-ref44";"20,00";"12,50";"11,11"
"TUW-141758-ref45";"25,00";"16,67";"14,29"
"TUW-141758-ref46";"62,50";"50,00";"45,45"
"TUW-141758-ref47";"60,00";"42,86";"42,86"
"TUW-141758-ref48";"45,83";"37,50";"31,75"
"TUW-141758-ref49";"50,00";"25,00";"25,00"
"TUW-168482-ref1";"77,78";"70,00";"63,64"
"TUW-168482-ref2";"50,00";"30,00";"27,27"
"TUW-168482-ref3";"50,00";"27,27";"27,27"
"TUW-168482-ref4";"66,67";"40,00";"40,00"
"TUW-168482-ref5";"50,00";"40,00";"36,36"
"TUW-168482-ref6";"57,14";"40,00";"40,00"
"TUW-168482-ref8";"40,00";"25,00";"22,22"
"TUW-168482-ref9";"60,00";"42,86";"42,86"
"TUW-168482-ref10";"66,67";"25,00";"25,00"
"TUW-168482-ref11";"87,50";"70,00";"70,00"
"TUW-168482-ref12";"85,71";"66,67";"60,00"
"TUW-168482-ref14";"57,14";"40,00";"36,36"
"TUW-168482-ref15";"40,00";"22,22";"20,00"
"TUW-168482-ref16";"50,00";"30,00";"27,27"
"TUW-168482-ref17";"75,00";"50,00";"50,00"
"TUW-168482-ref18";"40,00";"25,00";"22,22"
"TUW-168482-ref19";"33,33";"25,00";"25,00"
"TUW-168482-ref23";"57,14";"40,00";"40,00"
"TUW-168482-ref24";"50,00";"40,00";"36,36"
"TUW-168482-ref25";"66,67";"57,14";"57,14"
"TUW-168482-ref26";"66,67";"40,00";"40,00"
"TUW-175428-ref1";"56,25";"37,50";"37,50"
"TUW-175428-ref2";"77,78";"70,00";"70,00"
"TUW-175428-ref3";"50,00";"33,33";"33,33"
"TUW-175428-ref4";"92,59";"83,33";"83,33"
"TUW-175428-ref5";"77,78";"70,00";"70,00"
"TUW-175428-ref6";"60,00";"30,00";"30,00"
"TUW-175428-ref7";"66,67";"22,22";"22,22"
"TUW-175428-ref9";"77,78";"70,00";"70,00"
"TUW-175428-ref10";"77,78";"70,00";"70,00"
"TUW-175428-ref11";"46,67";"33,33";"33,33"
"TUW-175428-ref13";"0,00";"0,00";"0,00"
"TUW-175428-ref15";"54,17";"43,33";"39,39"
"TUW-175428-ref16";"33,33";"14,29";"14,29"
"TUW-175428-ref17";"53,13";"42,50";"38,64"
"TUW-175428-ref18";"20,00";"12,50";"12,50"
"TUW-175428-ref19";"66,67";"55,56";"55,56"
"TUW-176087-ref1";"77,78";"70,00";"70,00"
"TUW-176087-ref2";"77,78";"70,00";"70,00"
"TUW-176087-ref3";"77,78";"70,00";"70,00"
"TUW-176087-ref4";"87,50";"77,78";"77,78"
"TUW-176087-ref5";"87,50";"77,78";"77,78"
"TUW-176087-ref6";"77,78";"70,00";"70,00"
"TUW-176087-ref7";"77,78";"70,00";"70,00"
"TUW-176087-ref8";"88,89";"80,00";"80,00"
"TUW-176087-ref9";"77,78";"70,00";"70,00"
"TUW-176087-ref10";"77,78";"70,00";"70,00"
"TUW-176087-ref11";"88,89";"80,00";"80,00"
"TUW-176087-ref12";"77,78";"70,00";"70,00"
"TUW-176087-ref13";"85,71";"60,00";"60,00"
"TUW-176087-ref14";"77,78";"70,00";"70,00"
"TUW-176087-ref15";"50,00";"25,00";"20,00"
"TUW-182414-ref2";"33,33";"16,67";"16,67"
"TUW-182414-ref8";"20,00";"16,67";"12,50"
"TUW-182414-ref9";"33,33";"12,50";"12,50"
"TUW-182414-ref10";"62,50";"38,89";"40,00"
"TUW-182414-ref11";"16,67";"10,00";"10,00"
"TUW-182899-ref34";"6,67";"11,11";"7,14"
"TUW-189842-ref1";"100,00";"70,00";"70,00"
"TUW-189842-ref2";"75,00";"35,71";"38,10"
"TUW-189842-ref3";"100,00";"66,67";"66,67"
"TUW-189842-ref4";"50,00";"25,00";"22,22"
"TUW-194085-ref1";"66,67";"28,57";"28,57"
"TUW-194085-ref13";"25,00";"10,00";"9,09"
"TUW-194561-ref2";"77,78";"70,00";"70,00"
"TUW-194561-ref3";"66,67";"40,00";"40,00"
"TUW-194561-ref4";"50,00";"33,33";"33,33"
"TUW-194561-ref5";"0,00";"0,00";"0,00"
"TUW-194561-ref6";"42,86";"30,00";"27,27"
"TUW-194561-ref9";"77,78";"70,00";"70,00"
"TUW-194561-ref11";"37,50";"30,00";"27,27"
"TUW-194561-ref12";"62,50";"45,45";"45,45"
"TUW-194561-ref13";"25,00";"10,00";"10,00"
"TUW-194561-ref14";"0,00";"0,00";"0,00"
"TUW-194561-ref15";"50,00";"44,44";"40,00"
"TUW-194561-ref16";"66,67";"40,00";"40,00"
"TUW-194561-ref18";"71,43";"62,50";"62,50"
"TUW-194561-ref19";"20,00";"10,00";"10,00"
"TUW-194561-ref20";"33,33";"28,57";"28,57"
"TUW-194561-ref22";"57,14";"40,00";"40,00"
"TUW-197422-ref1";"14,29";"12,50";"10,00"
"TUW-197422-ref2";"33,33";"33,33";"25,00"
"TUW-197422-ref3";"0,00";"0,00";"0,00"
"TUW-197422-ref4";"30,00";"26,67";"23,33"
"TUW-197422-ref9";"0,00";"0,00";"0,00"
"TUW-197422-ref10";"0,00";"0,00";"0,00"
"TUW-197422-ref11";"0,00";"0,00";"0,00"
"TUW-197422-ref12";"0,00";"0,00";"0,00"
"TUW-197422-ref13";"0,00";"0,00";"0,00"
"TUW-197422-ref14";"0,00";"0,00";"0,00"
"TUW-197422-ref15";"0,00";"0,00";"0,00"
"TUW-197422-ref16";"0,00";"0,00";"0,00"
"TUW-197422-ref17";"0,00";"0,00";"0,00"
"TUW-197422-ref18";"0,00";"0,00";"0,00"
"TUW-197422-ref20";"33,33";"22,22";"18,18"
"TUW-197422-ref22";"0,00";"0,00";"0,00"
"TUW-197422-ref23";"20,00";"20,00";"14,29"
"TUW-197422-ref24";"0,00";"0,00";"0,00"
"TUW-197422-ref25";"0,00";"0,00";"0,00"
"TUW-197422-ref26";"0,00";"0,00";"0,00"
"TUW-198405-ref1";"40,00";"33,33";"28,57"
"TUW-198405-ref2";"62,50";"50,00";"45,45"
"TUW-198405-ref3";"60,00";"37,50";"37,50"
"TUW-198405-ref4";"60,00";"42,86";"42,86"
"TUW-198405-ref5";"66,67";"38,89";"40,74"
"TUW-198405-ref6";"71,43";"50,00";"45,45"
"TUW-198408-ref2";"57,14";"40,00";"36,36"
"TUW-198408-ref3";"75,00";"66,67";"66,67"
"TUW-198408-ref4";"62,50";"55,56";"50,00"
"TUW-198408-ref5";"71,43";"50,00";"50,00"
"TUW-198408-ref6";"20,00";"14,29";"12,50"
"TUW-198408-ref7";"80,00";"40,00";"40,00"
"TUW-198408-ref8";"50,00";"20,00";"20,00"
"TUW-198408-ref9";"0,00";"0,00";"0,00"
"TUW-198408-ref10";"50,00";"20,00";"20,00"
"TUW-198408-ref11";"42,86";"37,50";"33,33"
"TUW-198408-ref13";"62,50";"50,00";"50,00"
"TUW-198408-ref14";"37,50";"30,00";"25,00"
"TUW-198408-ref15";"25,00";"14,29";"14,29"
"TUW-198408-ref16";"62,50";"50,00";"50,00"
"TUW-198408-ref17";"75,00";"66,67";"66,67"
"TUW-198408-ref18";"62,50";"50,00";"50,00"
"TUW-198408-ref19";"75,00";"66,67";"66,67"
"TUW-198408-ref20";"62,50";"50,00";"50,00"
"TUW-198408-ref21";"33,33";"20,00";"20,00"
"TUW-198408-ref22";"37,50";"30,00";"25,00"
"TUW-198408-ref24";"50,00";"44,44";"40,00"
"TUW-198408-ref25";"42,86";"30,00";"27,27"
"TUW-198408-ref26";"50,00";"30,00";"30,00"
"TUW-198408-ref27";"75,00";"66,67";"66,67"
"TUW-200745-ref1";"75,00";"42,86";"42,86"
"TUW-200745-ref2";"60,00";"42,86";"37,50"
"TUW-200745-ref3";"80,00";"50,00";"50,00"
"TUW-200745-ref4";"100,00";"90,00";"90,00"
"TUW-200745-ref5";"85,71";"60,00";"60,00"
"TUW-200745-ref6";"100,00";"72,73";"72,73"
"TUW-200745-ref7";"80,00";"50,00";"50,00"
"TUW-200745-ref8";"100,00";"88,89";"88,89"
"TUW-200745-ref9";"80,00";"66,67";"57,14"
"TUW-200745-ref10";"100,00";"72,73";"72,73"
"TUW-200745-ref11";"75,00";"42,86";"42,86"
"TUW-200745-ref12";"100,00";"81,82";"81,82"
"TUW-200745-ref13";"60,00";"42,86";"37,50"
"TUW-200745-ref14";"60,00";"42,86";"33,33"
"TUW-200745-ref15";"60,00";"50,00";"37,50"
"TUW-200745-ref16";"60,00";"42,86";"33,33"
"TUW-200748-ref1";"81,25";"65,00";"65,00"
"TUW-200748-ref2";"71,43";"50,00";"45,45"
"TUW-200748-ref3";"85,71";"60,00";"60,00"
"TUW-200748-ref4";"77,78";"51,85";"51,85"
"TUW-200748-ref5";"85,71";"66,67";"66,67"
"TUW-200748-ref6";"100,00";"75,00";"75,00"
"TUW-200748-ref7";"100,00";"88,89";"88,89"
"TUW-200748-ref8";"93,75";"62,50";"62,50"
"TUW-200748-ref9";"62,50";"55,56";"50,00"
"TUW-200748-ref10";"62,50";"50,00";"45,45"
"TUW-200748-ref11";"55,56";"55,56";"50,00"
"TUW-200748-ref12";"62,50";"50,00";"45,45"
"TUW-200748-ref13";"62,50";"50,00";"45,45"
"TUW-200748-ref14";"62,50";"55,56";"55,56"
"TUW-200748-ref15";"75,00";"60,00";"54,55"
"TUW-200748-ref16";"56,25";"45,00";"40,91"
"TUW-200748-ref17";"100,00";"77,78";"77,78"
"TUW-200748-ref18";"100,00";"88,89";"88,89"
"TUW-200748-ref19";"71,43";"62,50";"55,56"
"TUW-200748-ref20";"93,75";"83,33";"83,33"
"TUW-200748-ref21";"75,00";"37,50";"37,50"
"TUW-200748-ref22";"83,33";"62,50";"55,56"
"TUW-200748-ref23";"71,43";"55,56";"50,00"
"TUW-200748-ref24";"66,67";"50,00";"50,00"
"TUW-200748-ref25";"66,67";"46,15";"46,15"
"TUW-200748-ref26";"85,71";"66,67";"66,67"
"TUW-200748-ref27";"60,00";"37,50";"33,33"
"TUW-200748-ref28";"100,00";"87,50";"87,50"
"TUW-200748-ref29";"85,71";"75,00";"66,67"
"TUW-200748-ref30";"100,00";"71,43";"71,43"
"TUW-200748-ref31";"60,00";"33,33";"33,33"
"TUW-200748-ref32";"66,67";"50,00";"44,44"
"TUW-200748-ref33";"88,89";"66,67";"66,67"
"TUW-200748-ref34";"87,50";"70,00";"70,00"
"TUW-200748-ref35";"80,00";"33,33";"33,33"
"TUW-200748-ref36";"71,43";"50,00";"50,00"
"TUW-200748-ref37";"71,43";"50,00";"45,45"
