"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-200959";"76,32";"34,95";"36,22";"88,65";"85,71";"82,22";"57,29";"25,00";"23,56";"59,26";"24,63";"26,30"
"TUW-201066";"67,59";"76,04";"60,83";"81,25";"87,50";"83,33";"88,75";"50,00";"46,83";"75,00";"37,50";"37,50"
"TUW-201160";"58,57";"65,71";"49,96";"81,25";"87,50";"83,33";"84,52";"50,00";"45,42";"75,00";"37,50";"37,50"
"TUW-201167";"66,67";"75,00";"60,00";"80,00";"85,42";"72,67";"62,50";"37,50";"33,93";"75,00";"37,50";"37,50"
"TUW-201821";"81,94";"83,33";"70,78";"98,61";"100,00";"99,24";"55,36";"25,00";"20,83";"76,67";"33,33";"32,58"
"TUW-202034";"16,16";"12,12";"11,28";"42,31";"39,78";"35,02";"38,10";"19,41";"13,18";"69,99";"22,55";"23,69"
"TUW-202824";"38,89";"75,00";"38,46";"91,67";"91,67";"91,67";"62,50";"34,38";"28,97";"33,33";"12,50";"11,11"
"TUW-203409";"80,00";"91,67";"75,00";"100,00";"100,00";"100,00";"58,33";"25,00";"23,21";"100,00";"37,50";"37,50"
"TUW-203924";"89,70";"65,64";"72,74";"98,64";"98,64";"98,64";"65,00";"20,91";"22,88";"100,00";"30,91";"34,10"
"TUW-204724";"62,24";"49,31";"51,78";"77,78";"61,25";"59,19";"70,23";"26,94";"24,47";"60,42";"25,00";"21,57"
"TUW-205557";"88,89";"88,89";"88,89";"41,67";"50,00";"33,33";"50,00";"33,33";"28,57";"100,00";"16,67";"16,67"
"TUW-205933";"81,29";"65,42";"59,20";"68,57";"54,17";"55,88";"44,44";"13,54";"14,88";"77,14";"46,88";"47,25"
"TUW-213513";"80,00";"81,67";"70,91";"90,00";"100,00";"93,33";"56,25";"30,00";"25,24";"100,00";"25,00";"26,67"
"TUW-216744";"63,46";"67,92";"63,03";"70,00";"58,33";"58,33";"62,50";"21,99";"21,18";"60,00";"25,00";"25,00"
"TUW-217690";"96,88";"61,33";"65,00";"92,86";"56,67";"59,00";"40,00";"20,00";"17,50";"50,00";"10,00";"10,00"
"TUW-217971";"60,00";"66,67";"54,55";"63,78";"77,28";"67,72";"69,44";"30,00";"30,41";"100,00";"11,11";"11,11"
"TUW-221215";"18,65";"11,20";"9,92";"57,22";"57,97";"50,86";"26,80";"9,13";"9,42";"92,50";"14,61";"15,53"
"TUW-223906";"84,62";"84,62";"73,33";"80,30";"59,62";"62,89";"81,25";"28,85";"26,28";"80,00";"28,85";"29,67"
"TUW-223973";"77,78";"70,00";"70,00";"97,00";"98,00";"97,47";"59,52";"25,12";"24,03";"79,09";"34,69";"36,48"
"TUW-225252";"56,25";"70,83";"48,94";"81,25";"72,92";"74,17";"86,67";"45,83";"44,44";"100,00";"37,50";"37,50"
"TUW-226000";"82,74";"96,79";"81,55";"86,67";"87,50";"86,95";"67,92";"25,86";"26,46";"77,33";"39,29";"38,97"
"TUW-226016";"30,00";"27,27";"21,43";"39,86";"52,41";"32,20";"18,18";"3,21";"3,90";"58,86";"20,72";"21,03"
"TUW-228620";"75,90";"63,74";"62,01";"57,89";"60,06";"45,33";"25,00";"7,52";"7,61";"51,59";"18,72";"19,19"
"TUW-231707";"75,00";"51,85";"51,52";"98,70";"74,07";"75,32";"80,36";"37,96";"35,48";"33,33";"11,11";"11,11"
"TUW-233317";"79,06";"79,17";"74,97";"86,11";"86,11";"86,11";"65,00";"21,67";"21,67";"50,00";"8,33";"8,33"
"TUW-233657";"72,47";"72,23";"65,72";"95,83";"62,96";"63,40";"80,36";"24,18";"25,35";"66,67";"16,67";"16,67"
"TUW-236063";"75,00";"51,85";"50,79";"71,88";"53,70";"55,82";"68,75";"33,33";"31,75";"66,67";"22,22";"22,22"
"TUW-236120";"88,64";"70,07";"72,06";"88,01";"80,42";"80,33";"70,00";"15,94";"18,37";"70,77";"28,07";"28,65"
"TUW-237297";"59,55";"65,28";"48,34";"66,27";"62,15";"58,82";"55,21";"34,72";"29,04";"56,81";"47,22";"39,23"
"TUW-240858";"93,33";"80,30";"81,96";"100,00";"96,97";"98,35";"64,74";"23,54";"23,54";"78,33";"28,90";"30,73"
"TUW-245336";"100,00";"85,71";"85,71";"92,86";"82,71";"87,03";"75,00";"56,52";"47,30";"78,26";"55,90";"55,90"
"TUW-245799";"57,54";"75,82";"55,87";"86,72";"51,15";"48,65";"83,33";"15,82";"16,99";"80,00";"25,05";"26,88"
"TUW-247301";"100,00";"90,00";"90,00";"95,00";"100,00";"97,14";"68,75";"30,00";"28,57";"75,00";"30,00";"30,00"
"TUW-247741";"70,83";"58,23";"51,85";"81,33";"62,25";"64,29";"48,96";"14,90";"15,50";"75,67";"28,37";"29,49"
"TUW-247743";"15,00";"18,18";"12,82";"67,04";"56,45";"47,98";"37,50";"17,32";"14,70";"NAN";"0,00";"0,00"
"TUW-251544";"75,00";"44,79";"42,66";"93,97";"56,06";"55,37";"68,75";"15,25";"17,71";"50,00";"8,33";"8,33"
"TUW-252847";"81,75";"81,44";"71,30";"73,11";"61,54";"61,03";"82,29";"29,49";"26,84";"97,22";"29,91";"29,91"
"TUW-255712";"71,88";"73,00";"72,41";"81,88";"60,50";"60,94";"70,83";"50,00";"39,58";"84,50";"48,50";"44,33"
"TUW-256654";"10,00";"9,09";"5,56";"55,36";"34,09";"34,62";"67,86";"23,86";"24,24";"75,00";"23,86";"25,17"
"TUW-257397";"99,06";"87,32";"91,54";"96,19";"63,64";"62,31";"79,17";"32,15";"29,68";"83,33";"22,73";"22,73"
"TUW-257870";"57,14";"69,23";"53,33";"70,23";"65,38";"61,69";"69,05";"23,85";"22,31";"76,67";"25,64";"26,22"
"Average";"66,04";"57,04";"52,72";"80,87";"72,53";"71,10";"63,50";"25,14";"23,78";"73,45";"25,55";"25,92"
